TIMESTAMP_LessOne,Keelung,Taipei,Taichung,Tainan,Taitung
01/01/2017,7.799997,7.599997,6.399998,9.399996,8.199997
02/01/2017,0,0,0.4,0,0.2
03/01/2017,0,0,0,0.2,0
04/01/2017,0,0,0,0,0
05/01/2017,0,0,0,0,0
06/01/2017,1,1,1.4,0.4,2.2
07/01/2017,0.4,0,0.4,0.8,0.2
08/01/2017,0.2,0,0,0,0
09/01/2017,1.4,3,2.8,2.8,1.4
10/01/2017,0,0.2,0.2,0.4,0
11/01/2017,0.4,0.6,0.4,0.2,0.2
12/01/2017,0.6,1.2,1.4,0.4,0
13/01/2017,2,1.2,1,1.2,1.8
14/01/2017,0,0,0.2,0,0
15/01/2017,5,5,5.599999,5.799999,5.799999
16/01/2017,3.800001,4.2,3.600001,3.600001,4
17/01/2017,0.6,0.4,0.2,0.6,0.4
18/01/2017,0.4,0,0,0,0
19/01/2017,0,0,0,0,0
20/01/2017,0,0,0,0,0
21/01/2017,0,0.2,0.2,0.4,0.2
22/01/2017,0,0,0,0,0
23/01/2017,0.4,0.4,0,0.4,0.2
24/01/2017,0,0.2,0.2,0.2,0.2
25/01/2017,0.4,0.2,0.2,0,0.2
26/01/2017,0,0,0,0,0
27/01/2017,0.8,1.4,1.2,1.8,1.2
28/01/2017,2.6,3.400001,3.400001,3.400001,3.800001
29/01/2017,0.8,1,1,0.8,2
30/01/2017,0,0,0,0.2,0.2
31/01/2017,6.999998,12.99999,10.39999,11.59999,10.59999
01/02/2017,5.599999,4.2,5.999999,4.6,6.799998
02/02/2017,0,0.2,0,0,0.2
03/02/2017,0.4,1.2,1.2,1,1
04/02/2017,3.600001,2.8,2.2,3.200001,2.2
05/02/2017,0.4,0,0,0,0.2
06/02/2017,5.999999,8.199997,7.199997,6.199998,6.199998
07/02/2017,0.6,1.6,2.2,1.8,2
08/02/2017,0.8,0.8,0.4,0.4,0.4
09/02/2017,0.2,0,0,0,0
10/02/2017,0.2,0.8,0.6,0.4,0.2
11/02/2017,4.2,4.6,4.2,5,4.2
12/02/2017,6.399998,5.999999,7.599997,7.199997,4.6
13/02/2017,0,0,0,0,0
14/02/2017,0,0.2,0,0,0.2
15/02/2017,2,2,2,2,1.2
16/02/2017,0,0.8,0.8,1,0
17/02/2017,0.4,0,0.6,0.6,0
18/02/2017,0,0.2,0.4,0.6,0.4
19/02/2017,0,0,0,0.4,0.4
20/02/2017,0.6,0.4,0.2,1.6,1
21/02/2017,0.2,1.4,1,1.4,0.8
22/02/2017,1.6,2.2,0.4,2.2,2
23/02/2017,7.799997,11.39999,11.19999,8.599997,9.399996
24/02/2017,0,0,0,0,0
25/02/2017,2.4,2.4,2,2.8,0.6
26/02/2017,0.8,2.2,0.4,0.4,0.6
27/02/2017,4,2.4,3.800001,5.599999,4.6
28/02/2017,0.2,2.2,1,1.4,1.4
01/03/2017,0.2,0.2,1.2,0.6,0.4
02/03/2017,3.400001,2.8,2,4.2,3.200001
03/03/2017,10.79999,11.79999,12.59999,11.99999,13.19999
04/03/2017,0.2,0.6,0.4,0.2,0
05/03/2017,5.599999,4.4,4.8,3.800001,4.2
06/03/2017,0.6,0.4,0.4,2.6,0.8
07/03/2017,0.4,0.4,0,0.6,1
08/03/2017,5.599999,4.6,5,4.2,4.2
09/03/2017,0.2,0,0,0,0
10/03/2017,0,0.2,0,0,0
11/03/2017,0.2,2.4,0.6,1.2,0.6
12/03/2017,0.4,2,0.4,1.2,0.6
13/03/2017,0,0,0,0,0
14/03/2017,0,0.2,0,0,0
15/03/2017,0,0,0,0,0
16/03/2017,0.4,0,0.6,0.2,0
17/03/2017,0.2,1.4,0.2,0.2,0.4
18/03/2017,0.6,0.2,0.2,4,0.4
19/03/2017,0,2.6,0.2,0.4,0.2
20/03/2017,3,8.399997,5.199999,5.999999,8.199997
21/03/2017,1.6,5.599999,1.6,4.2,3.600001
22/03/2017,10.2,24.60002,14.99999,16.79999,22.00001
23/03/2017,0.8,1,0.4,1,1
24/03/2017,0,0,0,0,0
25/03/2017,0,0.2,0.2,0.2,0.2
26/03/2017,0,0,0,0,0
27/03/2017,0,0,0,0,0
28/03/2017,0.2,2.4,0.6,2,1
29/03/2017,2.8,3.200001,2.2,3.200001,1.4
30/03/2017,0.2,0.4,0,0.2,0.2
31/03/2017,0,0.2,0,0,0
